Title,Year,Medium,Width,Height,Depth,CreditLine,Classification,Department,YearAcquired,CuratorApproved,ObjectID
Target Ship,(190,Etching,null,null,null,Gift of John S. Newberry,Print,Prints & Illustrated Books,1964,N,62227
Untitled,May,Lithograph,40.6,32.9,null,John R. Jakobson Foundation Fund,Print,Prints & Illustrated Books,1975,Y,62266
SUMMER,(192,Engraving,null,null,null,Gift of the Circolo degli Artisti,Print,Prints & Illustrated Books,1964,N,62283
Gelmeroda from the Masters' Portfolio of the Staatliches Bauhaus (Meistermappe des Staatlichen Bauhauses),(192,Woodcut from a portfolio of three lithographs |  three woodcuts and two etchings,null,null,null,Gift of the Advisory Committee,Print,Prints & Illustrated Books,1947,Y,62414
The Concert IV (Das Konzert IV) from the series The Concert (Das Konzert),(192,Lithograph,69.3,48.6,null,Purchase,Print,Prints & Illustrated Books,1945,Y,62451
Old Woman with Bonnet (Alte Frau mit Kapothut),(192,Drypoint,30,19.9,null,Purchase,Print,Prints & Illustrated Books,1946,Y,62468
Skating,3 |,Engraving,6.2,10,null,Gift of the artist,Print,Prints & Illustrated Books,1992,Y,62504
Inpainting (Gray),Sept,Oil paint,39.9,39.9,null,Gift of Cosmopolitan Arts Foundation,Print,Prints & Illustrated Books,1982,Y,62558
Centre noir (Black Center),(192,Lithograph,35.9,26.6,null,Purchase,Print,Prints & Illustrated Books,1944,N,62737
OCTOBER 1991 VOL. 1 ISSUE 1 from the DEATH series,(199,Screenprint printed in color,30.5,25.4,null,Gift of Lily Auchincloss,Print,Prints & Illustrated Books,1992,N,62766
Death,(199,Series of twelve screenprints,30.5,24.5,null,Gift of Lily Auchincloss,Print,Prints & Illustrated Books,1992,Y,62767
JULY 1992 VOL. 1 ISSUE 10 from the DEATH series,(199,Screenprint printed in color,30.5,25.4,null,Gift of Lily Auchincloss,Print,Prints & Illustrated Books,1992,N,62768
AUGUST 1992 VOL. 1 ISSUE 11 from the DEATH series,(199,Screenprint printed in color,30.5,25.4,null,Gift of Lily Auchincloss,Print,Prints & Illustrated Books,1992,N,62769
SEPTEMBER 1992 VOL. 1 ISSUE 12 from the DEATH series,(199,Screenprint printed in color,30.5,25.4,null,Gift of Lily Auchincloss,Print,Prints & Illustrated Books,1992,N,62770
NOVEMBER 1991 VOL. 1 ISSUE 2 from the DEATH series,(199,Screenprint printed in color,30.5,25.4,null,Gift of Lily Auchincloss,Print,Prints & Illustrated Books,1992,N,62771
DECEMBER 1991 VOL. 1 ISSUE 3 from the DEATH series,(199,Screenprint printed in color,30.5,25.4,null,Gift of Lily Auchincloss,Print,Prints & Illustrated Books,1992,N,62772
JANUARY 1992 VOL. 1 ISSUE 4 from the DEATH series,(199,Screenprint printed in color,30.5,25.4,null,Gift of Lily Auchincloss,Print,Prints & Illustrated Books,1992,N,62773
FEBRUARY 1992 VOL.1 ISSUE 5 from the DEATH series,(199,Screenprint printed in color,30.5,25.4,null,Gift of Lily Auchincloss,Print,Prints & Illustrated Books,1992,N,62774
MARCH 1992 VOL. 1 ISSUE 6 from the DEATH series,(199,Screenprint,30.5,25.4,null,Gift of Lily Auchincloss,Print,Prints & Illustrated Books,1992,N,62775
APRIL 1992 VOL. 1 ISSUE 7 from the DEATH series,(199,Screenprint printed in color,30.5,25.4,null,Gift of Lily Auchincloss,Print,Prints & Illustrated Books,1992,N,62776
