Title,Year,Medium,Width,Height,Depth,CreditLine,Classification,Department,YearAcquired,CuratorApproved,ObjectID
Cover of Pepsi-Cola World |  April |  1958,1957,Lithograph,27.9,21.6,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155347
Cover of Pepsi-Cola World |  June |  1958,1958,Lithograph,27.9,21.6,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155348
Artist's Proof for the cover of Pepsi-Cola World |  July |  1958,1958,Lithograph,27.9,21.6,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155349
Artist's Proof for the cover of Pepsi-Cola World |  Summer 1958,1958,Lithograph,28.3,21.6,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155350
Artist's Proof for the cover of Pepsi-Cola World |  October |  1958,1958,Lithograph,33,26.7,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155351
Artist's Proof for the cover of Pepsi-Cola World |  December |  1958,1957,Lithograph,27.9,21.6,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155352
Cover of Pepsi-Cola World |  February |  1959,1959,Lithograph,27.9,21.6,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155353
Artist's Proof for the cover of Pepsi-Cola World |  March |  1959,1959,Lithograph,33,23.5,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155354
Artist's Proof for the cover of Pepsi-Cola World |  April |  1959,1959,Lithograph,28.6,21.9,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155355
Cover of Pepsi-Cola World |  Summer 1959,1959,Lithograph,28.3,21.6,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155356
Cover of Pepsi-Cola World |  April |  1960,1960,Lithograph,27.9,21.6,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155357
Artist's Proof for the cover of Pepsi-Cola World |  Spring 1960,1960,Lithograph,31.8,24.1,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155358
Cover of Pepsi-Cola World |  January |  1960,1960,Lithograph,27.9,21.6,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155359
Cover of Pepsi-Cola World |  February |  1960,1960,Lithograph,27.9,21.6,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155360
New York City,1956,Gelatin silver print |  printed 1970s,21.9,33.3,null,Gift of Susan and Peter MacGilll in honor of Peter Galassi,Photograph,Photography,2012,N,155364
Brussels World Fair (View of the fair),1958,Silver-gelatin print,20.3,25.4,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155365
Brussels World Fair (View of the fair),1958,Silver-gelatin print,25.4,20.3,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155366
Brussels World Fair (View of the fair),1958,Silver-gelatin print,25.4,20.3,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155367
Brussels World Fair (View of the fair),1958,Silver-gelatin print,20.3,25.4,null,Gift of Don Goeman,A&D Graphic Design,Architecture & Design,2011,Y,155368
