WarNum,WarName,WarType,ccode,StateName,Side,StartMonth1,StartDay1,StartYear1,EndMonth1,EndDay1,EndYear1,StartMonth2
184,Turco-Cypriot,1,352,Cyprus,2,7,20,1974,7,29,1974,8
186,War over Angola,1,40,Cuba,1,10,23,1975,2,12,1976,-8
186,War over Angola,1,560,South Africa,2,10,23,1975,2,12,1976,-8
186,War over Angola,1,490,Democratic Republic of the Congo,2,10,23,1975,2,12,1976,-8
186,War over Angola,1,540,Angola,1,11,11,1975,2,12,1976,-8
187,"Second Ogaden War,Phase 2",1,530,Ethiopia,1,7,23,1977,3,9,1978
187,"Second Ogaden War,Phase 2",1,40,Cuba,1,11,23,1977,3,9,1978
187,"Second Ogaden War,Phase 2",1,520,Somalia,2,7,23,1977,3,9,1978
189,Vietnamese-Cambodian,1,816,Vietnam,1,9,24,1977,1,8,1979,-8
189,Vietnamese-Cambodian,1,811,Cambodia,2,9,24,1977,1,8,1979,-8
190,Ugandian-Tanzanian,1,500,Uganda,2,10,28,1978,4,11,1979,-8
190,Ugandian-Tanzanian,1,510,Tanzania,1,10,28,1978,4,11,1979,-8
190,Ugandian-Tanzanian,1,620,Libya,2,2,1,1979,4,11,1979,-8
193,Sino-Vietnamese Punitive,1,710,China,1,2,17,1979,3,16,1979,-8
193,Sino-Vietnamese Punitive,1,816,Vietnam,2,2,17,1979,3,16,1979,-8
199,Iran-Iraq,1,645,Iraq,2,9,22,1980,8,20,1988,-8
199,Iran-Iraq,1,630,Iran,1,9,22,1980,8,20,1988,-8
202,Falkland Islands,1,200,United Kingdom,1,3,25,1982,6,15,1982,-8
202,Falkland Islands,1,160,Argentina,2,3,25,1982,6,15,1982,-8
205,War over Lebanon,1,666,Israel,1,4,21,1982,9,15,1982,-8
205,War over Lebanon,1,652,Syria,2,4,21,1982,9,15,1982,-8
207,War over the Aouzou Strip,1,483,Chad,1,11,15,1986,9,11,1987,-8
207,War over the Aouzou Strip,1,620,Libya,2,11,15,1986,9,11,1987,-8
208,Sino-Vietnamese Border War,1,816,Vietnam,2,1,5,1987,2,6,1987,-8
208,Sino-Vietnamese Border War,1,710,China,1,1,5,1987,2,6,1987,-8
211,Gulf War,1,690,Kuwait,1,8,2,1990,4,11,1991,-8
211,Gulf War,1,2,United States of America,1,1,16,1991,4,11,1991,-8
211,Gulf War,1,20,Canada,1,1,16,1991,4,11,1991,-8
211,Gulf War,1,200,United Kingdom,1,1,16,1991,4,11,1991,-8
211,Gulf War,1,325,Italy,1,1,16,1991,4,11,1991,-8
211,Gulf War,1,600,Morocco,1,1,16,1991,4,11,1991,-8
211,Gulf War,1,645,Iraq,2,8,2,1990,4,11,1991,-8
211,Gulf War,1,651,Egypt,1,1,16,1991,4,11,1991,-8
211,Gulf War,1,698,Oman,1,1,16,1991,4,11,1991,-8
211,Gulf War,1,220,France,1,1,16,1991,4,11,1991,-8
211,Gulf War,1,696,United Arab Emirates,1,1,16,1991,4,11,1991,-8
211,Gulf War,1,694,Qatar,1,1,16,1991,4,11,1991,-8
211,Gulf War,1,670,Saudi Arabia,1,1,16,1991,4,11,1991,-8
211,Gulf War,1,652,Syria,1,1,16,1991,4,11,1991,-8
215,Bosnian Independence,1,344,Croatia,1,4,7,1992,5,13,1992,-8
215,Bosnian Independence,1,346,Bosnia,1,4,7,1992,5,13,1992,-8
215,Bosnian Independence,1,345,Yugoslavia,2,4,7,1992,5,13,1992,-8
216,Azeri-Armenian,1,373,Azerbaijan,2,2,6,1993,5,12,1994,-8
216,Azeri-Armenian,1,371,Armenia,1,2,6,1993,5,12,1994,-8
217,Cenepa Valley,1,130,Ecuador,2,1,9,1995,2,27,1995,-8
217,Cenepa Valley,1,135,Peru,1,1,9,1995,2,27,1995,-8
219,Badme Border,1,531,Eritrea,1,5,6,1998,12,12,2000,-8
219,Badme Border,1,530,Ethiopia,2,5,6,1998,12,12,2000,-8
221,War for Kosovo,1,640,Turkey,1,3,24,1999,6,10,1999,-8
221,War for Kosovo,1,325,Italy,1,3,24,1999,6,10,1999,-8
221,War for Kosovo,1,200,United Kingdom,1,3,24,1999,6,10,1999,-8
221,War for Kosovo,1,2,United States of America,1,3,24,1999,6,10,1999,-8
221,War for Kosovo,1,210,Netherlands,1,3,24,1999,6,10,1999,-8
221,War for Kosovo,1,220,France,1,3,24,1999,6,10,1999,-8
221,War for Kosovo,1,345,Yugoslavia,2,3,24,1999,6,10,1999,-8
221,War for Kosovo,1,255,Germany,1,3,24,1999,6,10,1999,-8
223,Kargil War,1,750,India,1,5,8,1999,7,17,1999,-8
223,Kargil War,1,770,Pakistan,2,5,8,1999,7,17,1999,-8
225,Invasion of Afghanistan,1,20,Canada,1,11,15,2001,12,22,2001,-8
225,Invasion of Afghanistan,1,220,France,1,10,21,2001,12,22,2001,-8
225,Invasion of Afghanistan,1,200,United Kingdom,1,10,7,2001,12,22,2001,-8
225,Invasion of Afghanistan,1,2,United States of America,1,10,7,2001,12,22,2001,-8
225,Invasion of Afghanistan,1,900,Australia,1,10,17,2001,12,22,2001,-8
225,Invasion of Afghanistan,1,700,Afghanistan,2,10,7,2001,12,22,2001,-8
227,Invasion of Iraq,1,900,Australia,1,3,19,2003,5,2,2003,-8
227,Invasion of Iraq,1,200,United Kingdom,1,3,19,2003,5,2,2003,-8
227,Invasion of Iraq,1,2,United States of America,1,3,19,2003,5,2,2003,-8
227,Invasion of Iraq,1,645,Iraq,2,3,19,2003,5,2,2003,-8
